ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p108,0.032406052219,0.032406052219,0.032406052219,0.032406052219,0.032406052219,0.0308317357395,0.02925741926,0.029401149196,0.029544879132,0.032083803807,0.034622728482,0.0349282213805,0.035233714279,0.035951064252,0.036668414225,0.036170129059,0.035671843893,0.0354233647525,0.035174885612,0.0348939857255,0.034613085839,0.0350175867845,0.03542208773,0.0356220089795,0.035821930229,0.0357784323095,0.03573493439,0.035903805485,0.03607267658,0.035841059345,0.03560944211,0.036626166465,0.03764289082,0.03782726943,0.03801164804,0.0374825421,0.03695343616
p109,0.03290308851,0.03290308851,0.03290308851,0.03290308851,0.03290308851,0.031342121999,0.029781155488,0.0299368375185,0.030092519549,0.0330865362715,0.036080552994,0.036335014229,0.036589475464,0.037298385864,0.038007296264,0.037196931025,0.036386565786,0.0364285919355,0.036470618085,0.036357781475,0.036244944865,0.036661455859,0.037077966853,0.037130088338,0.037182209823,0.0369199250715,0.03665764032,0.0367886734,0.03691970648,0.03691031518,0.03690092388,0.0377250045475,0.038549085215,0.038629430585,0.038709775955,0.0380781734175,0.03744657088
p11,0.032615536642,0.032615536642,0.032615536642,0.032615536642,0.032615536642,0.0299103609035,0.027205185165,0.0270948241925,0.02698446322,0.0334534146295,0.039922366039,0.041181414147,0.042440462255,0.042158355325,0.041876248395,0.0396670145305,0.037457780666,0.0371669049625,0.036876029259,0.037874569405,0.038873109551,0.039671437202,0.040469764853,0.040511037442,0.040552310031,0.0408054749335,0.041058639836,0.0423133196935,0.043567999551,0.0435592521215,0.043550504692,0.042994266358,0.042438028024,0.042412837087,0.04238764615,0.042069110235,0.04175057432
p110,0.034299792417,0.034299792417,0.034299792417,0.034299792417,0.034299792417,0.0326483793775,0.030996966338,0.030962165355,0.030927364372,0.0332687979225,0.035610231473,0.0358135680405,0.036016904608,0.036520126247,0.037023347886,0.036372519795,0.035721691704,0.035729294897,0.03573689809,0.036036043991,0.036335189892,0.0363718834855,0.036408577079,0.036899022298,0.037389467517,0.0371996779735,0.03700988843,0.037281364115,0.0375528398,0.03741145943,0.03727007906,0.038018430369,0.038766781678,0.038950642624,0.03913450357,0.038339741185,0.0375449788
p111,0.033551330383,0.033551330383,0.033551330383,0.033551330383,0.033551330383,0.0318046018275,0.030057873272,0.030061841839,0.030065810406,0.03253215534,0.034998500274,0.035341071491,0.035683642708,0.0362701389785,0.036856635249,0.0362955681315,0.035734501014,0.0357571120215,0.035779723029,0.036158624625,0.036537526221,0.0365844693685,0.036631412516,0.037176138249,0.037720863982,0.037525891326,0.03733091867,0.03757662494,0.03782233121,0.037799693075,0.03777705494,0.038505062961,0.039233070982,0.039726228184,0.040219385386,0.039487498338,0.03875561129
p112,0.032919476298,0.032919476298,0.032919476298,0.032919476298,0.032919476298,0.031205652395,0.029491828492,0.029531568313,0.029571308134,0.0319385529645,0.034305797795,0.034732400778,0.035159003761,0.035709706749,0.036260409737,0.035824884037,0.035389358337,0.0355369626745,0.035684567012,0.0359623189935,0.036240070975,0.0361993131535,0.036158555332,0.0365854038595,0.037012252387,0.0368454316085,0.03667861083,0.03696977026,0.03726092969,0.03724345477,0.03722597985,0.037955484164,0.038684988478,0.039078489241,0.039471990004,0.038797359222,0.03812272844
p113,0.033177692492,0.033177692492,0.033177692492,0.033177692492,0.033177692492,0.0314503199815,0.029722947471,0.0297631858115,0.029803424152,0.032007755562,0.034212086972,0.034652158671,0.03509223037,0.035656266475,0.03622030258,0.0358715836945,0.035522864809,0.035674279036,0.035825693263,0.0359805265625,0.036135359862,0.0359933272315,0.035851294601,0.0358622234725,0.035873152344,0.035814503684,0.035755855024,0.035849624417,0.03594339381,0.03606816479,0.03619293577,0.0368581782555,0.037523420741,0.037838548112,0.038153675483,0.0372741951115,0.03639471474
p114,0.03295270301,0.03295270301,0.03295270301,0.03295270301,0.03295270301,0.031231223035,0.02950974306,0.029550955569,0.029592168078,0.0318216195905,0.034051071103,0.0345041546115,0.03495723812,0.0355220074485,0.036086776777,0.035773955869,0.035461134961,0.03563944633,0.035817757699,0.035931953072,0.036046148445,0.0359812892715,0.035916430098,0.0362245744405,0.036532718783,0.0363497874365,0.03616685609,0.036388081435,0.03660930678,0.036437584585,0.03626586239,0.037050522737,0.037835183084,0.0382695665355,0.038703949987,0.0380624637735,0.03742097756
p115,0.03291742995,0.03291742995,0.03291742995,0.03291742995,0.03291742995,0.0318175630285,0.030717696107,0.0303983993345,0.030079102562,0.032442757513,0.034806412464,0.0350526936785,0.035298974893,0.035851686715,0.036404398537,0.035807146092,0.035209893647,0.03529533653,0.035380779413,0.035747315671,0.036113851929,0.036131855904,0.036149859879,0.036683784347,0.037217708815,0.0370523242375,0.03688693966,0.03719148881,0.03749603796,0.03749826616,0.03750049436,0.0388355576435,0.040170620927,0.040456007579,0.040741394231,0.0399820085305,0.03922262283
p116,0.033403020259,0.033403020259,0.033403020259,0.033403020259,0.033403020259,0.031782114903,0.030161209547,0.030125849215,0.030090488883,0.0324267591485,0.034763029414,0.0350282214555,0.035293413497,0.0357735577525,0.036253702008,0.035723478851,0.035193255694,0.035273064726,0.035352873758,0.035676069906,0.035999266054,0.035997136049,0.035995006044,0.0365042291685,0.037013452293,0.0368425978375,0.036671743382,0.036990195156,0.03730864693,0.037255612985,0.03720257904,0.038508141289,0.039813703538,0.0400167638455,0.040219824153,0.0394791138265,0.0387384035
p117,0.033778347084,0.033778347084,0.033778347084,0.033778347084,0.033778347084,0.032152116021,0.030525884958,0.030491411203,0.030456937448,0.032898981875,0.035341026302,0.035560843144,0.035780659986,0.0362638501495,0.036747040313,0.036204673927,0.035662307541,0.035744875537,0.035827443533,0.0361572660895,0.036487088646,0.036483379678,0.03647967071,0.036999621031,0.037519571352,0.037334115101,0.03714865885,0.03744824603,0.03774783321,0.037681463915,0.03761509462,0.038432364765,0.03924963491,0.0394853333865,0.039721031863,0.0389413661915,0.03816170052
p118,0.034761897412,0.034761897412,0.034761897412,0.034761897412,0.034761897412,0.033063621861,0.03136534631,0.0313505440065,0.031335741703,0.03386580849,0.036395875277,0.0366036867365,0.036811498196,0.037321574686,0.037831651176,0.0372387128275,0.036645774479,0.036735948626,0.036826122773,0.03714629625,0.037466469727,0.0374859510065,0.037505432286,0.038044063104,0.038582693922,0.038301562841,0.03802043176,0.038353076255,0.03868572075,0.03839366767,0.03810161459,0.039145522139,0.040189429688,0.040389457747,0.040589485806,0.039783355018,0.03897722423
p119,0.033971784134,0.033971784134,0.033971784134,0.033971784134,0.033971784134,0.0323703854625,0.030768986791,0.030395404212,0.030021821633,0.0326263130045,0.035230804376,0.0351639033135,0.035097002251,0.035658009952,0.036219017653,0.035630302167,0.035041586681,0.0351753132815,0.035309039882,0.036053167736,0.03679729559,0.0366842205175,0.036571145445,0.0373079916175,0.03804483779,0.03799927896,0.03795372013,0.038491187365,0.0390286546,0.039003139405,0.03897762421,0.0403887841,0.04179994399,0.0414338159575,0.041067687925,0.0405861489675,0.04010461001
p12,0.031427882949,0.031427882949,0.031427882949,0.031427882949,0.031427882949,0.029228058369,0.027028233789,0.02671345482,0.026398675851,0.0306771271375,0.034955578424,0.036365980278,0.037776382132,0.0374731895645,0.037169996997,0.0356049966485,0.0340399963,0.033916925058,0.033793853816,0.034522575419,0.035251297022,0.035755236726,0.03625917643,0.0361620416455,0.036064906861,0.036132372447,0.036199838033,0.0364969030105,0.036793967988,0.0370949439995,0.037395920011,0.0356950965605,0.03399427311,0.034497402195,0.03500053128,0.03538007627,0.03575962126
p120,0.034110253514,0.034110253514,0.034110253514,0.034110253514,0.034110253514,0.0325615010005,0.031012748487,0.0306390951025,0.030265441718,0.032741798302,0.035218154886,0.03514563277,0.035073110654,0.0356720777745,0.036271044895,0.035651776841,0.035032508787,0.035170974451,0.035309440115,0.035787361965,0.036265283815,0.036250155014,0.036235026213,0.036917572607,0.037600119001,0.0374993398505,0.0373985607,0.037772731705,0.03814690271,0.038076949425,0.03800699614,0.039494855857,0.040982715574,0.0410490862135,0.041115456853,0.0406150996315,0.04011474241
p121,0.034031078346,0.034031078346,0.034031078346,0.034031078346,0.034031078346,0.0338690717305,0.033707065115,0.0328702598485,0.032033454582,0.0335863925875,0.035139330593,0.035097887426,0.035056444259,0.0356291440365,0.036201843814,0.0355784755815,0.034955107349,0.035096959324,0.035238811299,0.0356766647775,0.036114518256,0.0361241175295,0.036133716803,0.0368029911535,0.037472265504,0.0373665503295,0.037260835155,0.0376328397525,0.03800484435,0.03793808129,0.03787131823,0.0393383231165,0.040805328003,0.0408442004155,0.040883072828,0.040446454089,0.04000983535
p122,0.03341840861,0.03341840861,0.03341840861,0.03341840861,0.03341840861,0.0318192622805,0.030220115951,0.029846270263,0.029472424575,0.032451633708,0.035430842841,0.0353527559845,0.035274669128,0.035943325545,0.036611981962,0.0360410886185,0.035470195275,0.0356694345595,0.035868673844,0.036705192491,0.037541711138,0.0374739352375,0.037406159337,0.0382038972035,0.03900163507,0.038973647615,0.03894566016,0.039550675035,0.04015568991,0.040182287845,0.04020888578,0.04216918947,0.04412949316,0.04393951456,0.04374953596,0.042893425375,0.04203731479
p123,0.034227514073,0.034227514073,0.034227514073,0.034227514073,0.034227514073,0.0339679553295,0.033708396586,0.032886281209,0.032064165832,0.034250210327,0.036436254822,0.0361150811915,0.035793907561,0.036632556109,0.037471204657,0.036810478296,0.036149751935,0.0363919421165,0.036634132298,0.037238541832,0.037842951366,0.0380265889275,0.038210226489,0.0390802011245,0.03995017576,0.039908282735,0.03986638971,0.04044561623,0.04102484275,0.04083441478,0.04064398681,0.04285509472,0.04506620263,0.044508864419,0.043951526208,0.043181463574,0.04241140094
p124,0.035431221862,0.035431221862,0.035431221862,0.035431221862,0.035431221862,0.033153350938,0.030875480014,0.0309282780225,0.030981076031,0.0345020823445,0.038023088658,0.0376696334625,0.037316178267,0.03821853251,0.039120886753,0.0384377912,0.037754695647,0.038028315104,0.038301934561,0.038949560089,0.039597185617,0.0398051410705,0.040013096524,0.040934534097,0.04185597167,0.04182110267,0.04178623367,0.042409610885,0.0430329881,0.042844387975,0.04265578785,0.04576411422,0.04887244059,0.048231680475,0.04759092036,0.04639164455,0.04519236874
p125,0.034085130029,0.034085130029,0.034085130029,0.034085130029,0.034085130029,0.0328111044545,0.03153707888,0.031104672817,0.030672266754,0.033821018889,0.036969771024,0.036822616323,0.036675461622,0.0375206340955,0.038365806569,0.037721761862,0.037077717155,0.0371741694135,0.037270621672,0.0381392363875,0.039007851103,0.038970628639,0.038933406175,0.0398038170375,0.0406742279,0.040665911215,0.04065759453,0.04133724748,0.04201690043,0.04208589617,0.04215489191,0.044378137805,0.0466013837,0.0463814694605,0.046161555221,0.0448951176455,0.04362868007
p126,0.033668737027,0.033668737027,0.033668737027,0.033668737027,0.033668737027,0.0338908731965,0.034113009366,0.032623392325,0.031133775284,0.033801118688,0.036468462092,0.036381172646,0.0362938832,0.0370710559055,0.037848228611,0.0372561184595,0.036664008308,0.0369327515545,0.037201494801,0.0381484887125,0.039095482624,0.039072902708,0.039050322792,0.039926565741,0.04080280869,0.04079847089,0.04079413309,0.04148825483,0.04218237657,0.042260517625,0.04233865868,0.04460165609,0.0468646535,0.0466533068405,0.046441960181,0.0452103845005,0.04397880882
p127,0.036145677314,0.036145677314,0.036145677314,0.036145677314,0.036145677314,0.03381160755,0.031477537786,0.033014337497,0.034551137208,0.036699137377,0.038847137546,0.040234721095,0.041622304644,0.0417818587785,0.041941412913,0.040355926122,0.038770439331,0.0373378710405,0.03590530275,0.036663516123,0.037421729496,0.0388731371565,0.040324544817,0.041600489063,0.042876433309,0.043147131672,0.043417830035,0.0434306388255,0.043443447616,0.0436142043705,0.043784961125,0.0435951183775,0.04340527563,0.044214858468,0.045024441306,0.0443988025235,0.043773163741
p128,0.037114363665,0.037114363665,0.037114363665,0.037114363665,0.037114363665,0.034686461382,0.032258559099,0.033812090517,0.035365621935,0.0381331938375,0.04090076574,0.0419893046205,0.043077843501,0.0438832323785,0.044688621256,0.0430490240765,0.041409426897,0.0408608723855,0.040312317874,0.04077223655,0.041232155226,0.0430100202175,0.044787885209,0.0459311344415,0.047074383674,0.0475594812325,0.048044578791,0.0487216977385,0.049398816686,0.049854242336,0.050309667986,0.0503932826895,0.050476897393,0.0505599445345,0.050642991676,0.0500943548125,0.049545717949
p129,0.036428899378,0.036428899378,0.036428899378,0.036428899378,0.036428899378,0.0344739613075,0.032519023237,0.032814601032,0.033110178827,0.035003388517,0.036896598207,0.036334393384,0.035772188561,0.0362527742145,0.036733359868,0.03482321735,0.032913074832,0.0338787105575,0.034844346283,0.0351766002225,0.035508854162,0.0357219033495,0.035934952537,0.0362223562305,0.036509759924,0.036137776627,0.03576579333,0.03781585125,0.03986590917,0.040170311985,0.0404747148,0.04115745722,0.04184019964,0.041700465925,0.04156073221,0.04136542065,0.04117010909
p13,0.031013237409,0.031013237409,0.031013237409,0.031013237409,0.031013237409,0.028500079168,0.025986920927,0.0258701841235,0.02575344732,0.031130079755,0.03650671219,0.0385473435145,0.040587974839,0.040739823918,0.040891672997,0.0386868546055,0.036482036214,0.036245309817,0.03600858342,0.037008586366,0.038008589312,0.038760707261,0.03951282521,0.0395243892325,0.039535953255,0.0397745844425,0.04001321563,0.04032821437,0.04064321311,0.040953015085,0.04126281706,0.03985981939,0.03845682172,0.038831482685,0.03920614365,0.039562825985,0.03991950832
p130,0.037338455334,0.037338455334,0.037338455334,0.037338455334,0.037338455334,0.035332877349,0.033327299364,0.033683264262,0.03403922916,0.0362699733775,0.038500717595,0.0378385846615,0.037176451728,0.0380471493265,0.038917846925,0.036955853749,0.034993860573,0.0362236624205,0.037453464268,0.0377606462005,0.038067828133,0.0381785181545,0.038289208176,0.0386322506145,0.038975293053,0.0386883811865,0.03840146932,0.040670600075,0.04293973083,0.04333249148,0.04372525213,0.044489527485,0.04525380284,0.04509633644,0.04493887004,0.044799238745,0.04465960745
p131,0.037634611132,0.037634611132,0.037634611132,0.037634611132,0.037634611132,0.0355896832125,0.033544755293,0.0342656745105,0.034986593728,0.0371387902075,0.039290986687,0.038471838927,0.037652691167,0.038692712923,0.039732734679,0.0377643531855,0.035795971692,0.0371333078485,0.038470644005,0.038892170748,0.039313697491,0.039736152231,0.040158606971,0.040534972443,0.040911337915,0.0405900045875,0.04026867126,0.04268140454,0.04509413782,0.045579943705,0.04606574959,0.04748009741,0.04889444523,0.048240860615,0.047587276,0.047601541405,0.04761580681
p132,0.037186572959,0.037186572959,0.037186572959,0.037186572959,0.037186572959,0.0371347610155,0.037082949072,0.036558425108,0.036033901144,0.038999726515,0.041965551886,0.040133370296,0.038301188706,0.039126449779,0.039951710852,0.037992805663,0.036033900474,0.037353969805,0.038674039136,0.039158677336,0.039643315536,0.040474031073,0.04130474661,0.041632657835,0.04196056906,0.041641015485,0.04132146191,0.043883148815,0.04644483572,0.046967657945,0.04749048017,0.04918346589,0.05087645161,0.050148779485,0.04942110736,0.049186094335,0.04895108131
p133,0.037722831178,0.037722831178,0.037722831178,0.037722831178,0.037722831178,0.0356023054885,0.033481779799,0.034200192436,0.034918605073,0.0372993788945,0.039680152716,0.0388015155085,0.037922878301,0.0391782607555,0.04043364321,0.038513090064,0.036592536918,0.037985807948,0.039379078978,0.0398687478285,0.040358416679,0.0408899599025,0.041421503126,0.041760080039,0.042098656952,0.041824141956,0.04154962696,0.04410781237,0.04666599778,0.047189656445,0.04771331511,0.04916388663,0.05061445815,0.049997247445,0.04938003674,0.049328491435,0.04927694613
p134,0.036758625703,0.036758625703,0.036758625703,0.036758625703,0.036758625703,0.0351467675695,0.033534909436,0.0346237978175,0.035712686199,0.0362320770245,0.03675146785,0.0365437923045,0.036336116759,0.036295757571,0.036255398383,0.0343337275085,0.032412056634,0.033207075845,0.034002095056,0.0342312379285,0.034460380801,0.0345627512415,0.034665121682,0.0349248196745,0.035184517667,0.034603489439,0.034022461211,0.0358445996605,0.03766673811,0.037878661545,0.03809058498,0.0391581249135,0.040225664847,0.0396462038085,0.03906674277,0.0390514097035,0.039036076637
p14,0.029091347066,0.029091347066,0.029091347066,0.029091347066,0.029091347066,0.0271959813565,0.025300615647,0.024915193079,0.024529770511,0.0282964296045,0.032063088698,0.0336682546525,0.035273420607,0.0350071327615,0.034740844916,0.033383198203,0.03202555149,0.032111170921,0.032196790352,0.0331591503365,0.034121510321,0.034621987344,0.035122464367,0.035357913277,0.035593362187,0.0357182327115,0.035843103236,0.0360810286695,0.036318954103,0.0364856112995,0.036652268496,0.035856666613,0.03506106473,0.0355519151235,0.036042765517,0.036314165795,0.036585566073
p15,0.029591138438,0.029591138438,0.029591138438,0.029591138438,0.029591138438,0.027656625029,0.02572211162,0.025394120806,0.025066129992,0.0297142621885,0.034362394385,0.0360134663745,0.037664538364,0.037527482686,0.037390427008,0.035744793112,0.034099159216,0.0341438106845,0.034188462153,0.0352670491765,0.0363456362,0.0368834334615,0.037421230723,0.037319874647,0.037218518571,0.037411636499,0.037604754427,0.037971106612,0.038337458797,0.038586151399,0.038834844001,0.0379452020065,0.037055560012,0.03772362605,0.038391692088,0.038602205811,0.038812719534
