ba,year,elec_price_res,elec_price_com,elec_price_ind
p1,2014,0.053073273885,0.053073273885,0.053073273885
p1,2015,0.053073273885,0.053073273885,0.053073273885
p1,2016,0.053073273885,0.053073273885,0.053073273885
p1,2017,0.053073273885,0.053073273885,0.053073273885
p1,2018,0.053073273885,0.053073273885,0.053073273885
p1,2019,0.051025235879,0.051025235879,0.051025235879
p1,2020,0.048977197873,0.048977197873,0.048977197873
p1,2021,0.0486865280105,0.0486865280105,0.0486865280105
p1,2022,0.048395858148,0.048395858148,0.048395858148
p1,2023,0.0516572707965,0.0516572707965,0.0516572707965
p1,2024,0.054918683445,0.054918683445,0.054918683445
p1,2025,0.0564252612505,0.0564252612505,0.0564252612505
p1,2026,0.057931839056,0.057931839056,0.057931839056
p1,2027,0.057556137985,0.057556137985,0.057556137985
p1,2028,0.057180436914,0.057180436914,0.057180436914
p1,2029,0.0559589993365,0.0559589993365,0.0559589993365
p1,2030,0.054737561759,0.054737561759,0.054737561759
p1,2031,0.054847393765,0.054847393765,0.054847393765
p1,2032,0.054957225771,0.054957225771,0.054957225771
p1,2033,0.0558056865985,0.0558056865985,0.0558056865985
p1,2034,0.056654147426,0.056654147426,0.056654147426
p1,2035,0.0570929739195,0.0570929739195,0.0570929739195
p1,2036,0.057531800413,0.057531800413,0.057531800413
p1,2037,0.057778184994,0.057778184994,0.057778184994
p1,2038,0.058024569575,0.058024569575,0.058024569575
p1,2039,0.058376849257,0.058376849257,0.058376849257
p1,2040,0.058729128939,0.058729128939,0.058729128939
p1,2041,0.0589864633,0.0589864633,0.0589864633
p1,2042,0.059243797661,0.059243797661,0.059243797661
p1,2043,0.0593865015415,0.0593865015415,0.0593865015415
p1,2044,0.059529205422,0.059529205422,0.059529205422
p1,2045,0.0587994861415,0.0587994861415,0.0587994861415
p1,2046,0.058069766861,0.058069766861,0.058069766861
p1,2047,0.058480453987,0.058480453987,0.058480453987
p1,2048,0.058891141113,0.058891141113,0.058891141113
p1,2049,0.059218217644,0.059218217644,0.059218217644
p1,2050,0.059545294175,0.059545294175,0.059545294175
p10,2014,0.125389499518,0.125389499518,0.125389499518
p10,2015,0.125389499518,0.125389499518,0.125389499518
p10,2016,0.125389499518,0.125389499518,0.125389499518
p10,2017,0.125389499518,0.125389499518,0.125389499518
p10,2018,0.125389499518,0.125389499518,0.125389499518
p10,2019,0.122717202483,0.122717202483,0.122717202483
p10,2020,0.120044905449,0.120044905449,0.120044905449
p10,2021,0.11993765029,0.11993765029,0.11993765029
p10,2022,0.11983039513,0.11983039513,0.11983039513
p10,2023,0.126110425847,0.126110425847,0.126110425847
p10,2024,0.132390456564,0.132390456564,0.132390456564
p10,2025,0.133588666868,0.133588666868,0.133588666868
p10,2026,0.134786877173,0.134786877173,0.134786877173
p10,2027,0.134500566898,0.134500566898,0.134500566898
p10,2028,0.134214256623,0.134214256623,0.134214256623
p10,2029,0.132079147666,0.132079147666,0.132079147666
p10,2030,0.129944038709,0.129944038709,0.129944038709
p10,2031,0.129656761159,0.129656761159,0.129656761159
p10,2032,0.129369483608,0.129369483608,0.129369483608
p10,2033,0.130325441942,0.130325441942,0.130325441942
p10,2034,0.131281400277,0.131281400277,0.131281400277
p10,2035,0.132045821707,0.132045821707,0.132045821707
p10,2036,0.132810243137,0.132810243137,0.132810243137
p10,2037,0.132858679968,0.132858679968,0.132858679968
p10,2038,0.132907116798,0.132907116798,0.132907116798
p10,2039,0.133147880212,0.133147880212,0.133147880212
p10,2040,0.133388643626,0.133388643626,0.133388643626
p10,2041,0.134597050674,0.134597050674,0.134597050674
p10,2042,0.135805457721,0.135805457721,0.135805457721
p10,2043,0.135815204066,0.135815204066,0.135815204066
p10,2044,0.135824950411,0.135824950411,0.135824950411
p10,2045,0.135276013268,0.135276013268,0.135276013268
p10,2046,0.134727076126,0.134727076126,0.134727076126
p10,2047,0.134853273198,0.134853273198,0.134853273198
p10,2048,0.13497947027,0.13497947027,0.13497947027
p10,2049,0.134754014525,0.134754014525,0.134754014525
p10,2050,0.13452855878,0.13452855878,0.13452855878
p100,2014,0.102486917195,0.102486917195,0.102486917195
p100,2015,0.102486917195,0.102486917195,0.102486917195
p100,2016,0.102486917195,0.102486917195,0.102486917195
p100,2017,0.102486917195,0.102486917195,0.102486917195
p100,2018,0.102486917195,0.102486917195,0.102486917195
p100,2019,0.100625675753,0.100625675753,0.100625675753
p100,2020,0.098764434312,0.098764434312,0.098764434312
p100,2021,0.098742924975,0.098742924975,0.098742924975
p100,2022,0.098721415638,0.098721415638,0.098721415638
p100,2023,0.101453606096,0.101453606096,0.101453606096
p100,2024,0.104185796554,0.104185796554,0.104185796554
p100,2025,0.104303609623,0.104303609623,0.104303609623
p100,2026,0.104421422693,0.104421422693,0.104421422693
p100,2027,0.104896830299,0.104896830299,0.104896830299
p100,2028,0.105372237905,0.105372237905,0.105372237905
p100,2029,0.104683240653,0.104683240653,0.104683240653
p100,2030,0.103994243402,0.103994243402,0.103994243402
p100,2031,0.104090611582,0.104090611582,0.104090611582
p100,2032,0.104186979762,0.104186979762,0.104186979762
p100,2033,0.104544596668,0.104544596668,0.104544596668
p100,2034,0.104902213574,0.104902213574,0.104902213574
p100,2035,0.105033662381,0.105033662381,0.105033662381
p100,2036,0.105165111188,0.105165111188,0.105165111188
p100,2037,0.105725231948,0.105725231948,0.105725231948
p100,2038,0.106285352709,0.106285352709,0.106285352709
p100,2039,0.106149796625,0.106149796625,0.106149796625
p100,2040,0.106014240541,0.106014240541,0.106014240541
