ba,year,elec_price_res,elec_price_com,elec_price_ind
p1,2014,0.053073273885,0.053073273885,0.053073273885
p1,2015,0.053073273885,0.053073273885,0.053073273885
p1,2016,0.053073273885,0.053073273885,0.053073273885
p1,2017,0.053073273885,0.053073273885,0.053073273885
p1,2018,0.053073273885,0.053073273885,0.053073273885
p1,2019,0.051025235879,0.051025235879,0.051025235879
p1,2020,0.048977197873,0.048977197873,0.048977197873
p1,2021,0.048686614948,0.048686614948,0.048686614948
p1,2022,0.048396032023,0.048396032023,0.048396032023
p1,2023,0.0516007092365,0.0516007092365,0.0516007092365
p1,2024,0.05480538645,0.05480538645,0.05480538645
p1,2025,0.0561822654965,0.0561822654965,0.0561822654965
p1,2026,0.057559144543,0.057559144543,0.057559144543
p1,2027,0.0569199301625,0.0569199301625,0.0569199301625
p1,2028,0.056280715782,0.056280715782,0.056280715782
p1,2029,0.054412256083,0.054412256083,0.054412256083
p1,2030,0.052543796384,0.052543796384,0.052543796384
p1,2031,0.052212932655,0.052212932655,0.052212932655
p1,2032,0.051882068926,0.051882068926,0.051882068926
p1,2033,0.0528223443915,0.0528223443915,0.0528223443915
p1,2034,0.053762619857,0.053762619857,0.053762619857
p1,2035,0.05460476262,0.05460476262,0.05460476262
p1,2036,0.055446905383,0.055446905383,0.055446905383
p1,2037,0.0559719129935,0.0559719129935,0.0559719129935
p1,2038,0.056496920604,0.056496920604,0.056496920604
p1,2039,0.0566975535,0.0566975535,0.0566975535
p1,2040,0.056898186396,0.056898186396,0.056898186396
p1,2041,0.0571631209095,0.0571631209095,0.0571631209095
p1,2042,0.057428055423,0.057428055423,0.057428055423
p1,2043,0.0575675492485,0.0575675492485,0.0575675492485
p1,2044,0.057707043074,0.057707043074,0.057707043074
p1,2045,0.0572737161925,0.0572737161925,0.0572737161925
p1,2046,0.056840389311,0.056840389311,0.056840389311
p1,2047,0.0565199320875,0.0565199320875,0.0565199320875
p1,2048,0.056199474864,0.056199474864,0.056199474864
p1,2049,0.0580253381065,0.0580253381065,0.0580253381065
p1,2050,0.059851201349,0.059851201349,0.059851201349
p10,2014,0.125389499518,0.125389499518,0.125389499518
p10,2015,0.125389499518,0.125389499518,0.125389499518
p10,2016,0.125389499518,0.125389499518,0.125389499518
p10,2017,0.125389499518,0.125389499518,0.125389499518
p10,2018,0.125389499518,0.125389499518,0.125389499518
p10,2019,0.122717202483,0.122717202483,0.122717202483
p10,2020,0.120044905449,0.120044905449,0.120044905449
p10,2021,0.119937628405,0.119937628405,0.119937628405
p10,2022,0.11983035136,0.11983035136,0.11983035136
p10,2023,0.125556773999,0.125556773999,0.125556773999
p10,2024,0.131283196638,0.131283196638,0.131283196638
p10,2025,0.132474379505,0.132474379505,0.132474379505
p10,2026,0.133665562372,0.133665562372,0.133665562372
p10,2027,0.132640104318,0.132640104318,0.132640104318
p10,2028,0.131614646265,0.131614646265,0.131614646265
p10,2029,0.128814138836,0.128814138836,0.128814138836
p10,2030,0.126013631407,0.126013631407,0.126013631407
p10,2031,0.125543449492,0.125543449492,0.125543449492
p10,2032,0.125073267576,0.125073267576,0.125073267576
p10,2033,0.126122720942,0.126122720942,0.126122720942
p10,2034,0.127172174308,0.127172174308,0.127172174308
p10,2035,0.128521771849,0.128521771849,0.128521771849
p10,2036,0.12987136939,0.12987136939,0.12987136939
p10,2037,0.130492402197,0.130492402197,0.130492402197
p10,2038,0.131113435004,0.131113435004,0.131113435004
p10,2039,0.131451175919,0.131451175919,0.131451175919
p10,2040,0.131788916834,0.131788916834,0.131788916834
p10,2041,0.131706503132,0.131706503132,0.131706503132
p10,2042,0.13162408943,0.13162408943,0.13162408943
p10,2043,0.131887727065,0.131887727065,0.131887727065
p10,2044,0.1321513647,0.1321513647,0.1321513647
p10,2045,0.132373877609,0.132373877609,0.132373877609
p10,2046,0.132596390518,0.132596390518,0.132596390518
p10,2047,0.131117807324,0.131117807324,0.131117807324
p10,2048,0.12963922413,0.12963922413,0.12963922413
p10,2049,0.130533538525,0.130533538525,0.130533538525
p10,2050,0.13142785292,0.13142785292,0.13142785292
p100,2014,0.102486917195,0.102486917195,0.102486917195
p100,2015,0.102486917195,0.102486917195,0.102486917195
p100,2016,0.102486917195,0.102486917195,0.102486917195
p100,2017,0.102486917195,0.102486917195,0.102486917195
p100,2018,0.102486917195,0.102486917195,0.102486917195
p100,2019,0.100625792703,0.100625792703,0.100625792703
p100,2020,0.098764668212,0.098764668212,0.098764668212
p100,2021,0.0987416020605,0.0987416020605,0.0987416020605
p100,2022,0.098718535909,0.098718535909,0.098718535909
p100,2023,0.101135322595,0.101135322595,0.101135322595
p100,2024,0.103552109282,0.103552109282,0.103552109282
p100,2025,0.103428682125,0.103428682125,0.103428682125
p100,2026,0.103305254967,0.103305254967,0.103305254967
p100,2027,0.103847859726,0.103847859726,0.103847859726
p100,2028,0.104390464485,0.104390464485,0.104390464485
p100,2029,0.102620613217,0.102620613217,0.102620613217
p100,2030,0.100850761949,0.100850761949,0.100850761949
p100,2031,0.10078846064,0.10078846064,0.10078846064
p100,2032,0.100726159332,0.100726159332,0.100726159332
p100,2033,0.101126545083,0.101126545083,0.101126545083
p100,2034,0.101526930833,0.101526930833,0.101526930833
p100,2035,0.101944901804,0.101944901804,0.101944901804
p100,2036,0.102362872775,0.102362872775,0.102362872775
p100,2037,0.102864095922,0.102864095922,0.102864095922
p100,2038,0.10336531907,0.10336531907,0.10336531907
p100,2039,0.103173483512,0.103173483512,0.103173483512
p100,2040,0.102981647954,0.102981647954,0.102981647954
