"","sector_abbr","bin_id","year","economic_lifetime_yrs","loan_term_yrs","loan_interest_rate","down_payment_fraction","tax_rate","real_discount_rate"
"105","res",2,2032,30,30,0.014634146,1,0.257,0.03552
"106","res",2,2034,30,30,0.014634146,1,0.257,0.03552
"107","res",2,2036,30,30,0.014634146,1,0.257,0.03552
"108","res",2,2038,30,30,0.014634146,1,0.257,0.03552
"109","res",2,2040,30,30,0.014634146,1,0.257,0.03552
"110","res",2,2042,30,30,0.014634146,1,0.257,0.03552
"111","res",2,2044,30,30,0.014634146,1,0.257,0.03552
"112","res",2,2046,30,30,0.014634146,1,0.257,0.03552
"113","res",2,2048,30,30,0.014634146,1,0.257,0.03552
"114","res",2,2050,30,30,0.014634146,1,0.257,0.03552
"115","res",3,2014,30,30,0.014634146,1,0.257,0.03552
"116","res",3,2016,30,30,0.014634146,1,0.257,0.03552
"117","res",3,2018,30,30,0.014634146,1,0.257,0.03552
"118","res",3,2020,30,30,0.014634146,1,0.257,0.03552
"119","res",3,2022,30,30,0.014634146,1,0.257,0.03552
"120","res",3,2024,30,30,0.014634146,1,0.257,0.03552
"121","res",3,2026,30,30,0.014634146,1,0.257,0.03552
"122","res",3,2028,30,30,0.014634146,1,0.257,0.03552
"123","res",3,2030,30,30,0.014634146,1,0.257,0.03552
"124","res",3,2032,30,30,0.014634146,1,0.257,0.03552
"125","res",3,2034,30,30,0.014634146,1,0.257,0.03552
"126","res",3,2036,30,30,0.014634146,1,0.257,0.03552
"127","res",3,2038,30,30,0.014634146,1,0.257,0.03552
"128","res",3,2040,30,30,0.014634146,1,0.257,0.03552
"129","res",3,2042,30,30,0.014634146,1,0.257,0.03552
"130","res",3,2044,30,30,0.014634146,1,0.257,0.03552
"131","res",3,2046,30,30,0.014634146,1,0.257,0.03552
"132","res",3,2048,30,30,0.014634146,1,0.257,0.03552
"133","res",3,2050,30,30,0.014634146,1,0.257,0.03552
"134","res",4,2014,30,30,0.014634146,1,0.257,1
"135","res",4,2016,30,30,0.014634146,1,0.257,1
"136","res",4,2018,30,30,0.014634146,1,0.257,1
"137","res",4,2020,30,30,0.014634146,1,0.257,1
"138","res",4,2022,30,30,0.014634146,1,0.257,1
"139","res",4,2024,30,30,0.014634146,1,0.257,1
"140","res",4,2026,30,30,0.014634146,1,0.257,1
"141","res",4,2028,30,30,0.014634146,1,0.257,1
"142","res",4,2030,30,30,0.014634146,1,0.257,1
"143","res",4,2032,30,30,0.014634146,1,0.257,0.03552
"144","res",4,2034,30,30,0.014634146,1,0.257,0.03552
"145","res",4,2036,30,30,0.014634146,1,0.257,0.03552
"146","res",4,2038,30,30,0.014634146,1,0.257,0.03552
"147","res",4,2040,30,30,0.014634146,1,0.257,0.03552
"148","res",4,2042,30,30,0.014634146,1,0.257,0.03552
"149","res",4,2044,30,30,0.014634146,1,0.257,0.03552
"150","res",4,2046,30,30,0.014634146,1,0.257,0.03552
"151","res",4,2048,30,30,0.014634146,1,0.257,0.03552
"152","res",4,2050,30,30,0.014634146,1,0.257,0.03552
"153","res",5,2014,30,30,0.014634146,1,0.257,0.031
"154","res",5,2016,30,30,0.014634146,1,0.257,0.031
"155","res",5,2018,30,30,0.014634146,1,0.257,0.031
"156","res",5,2020,30,30,0.014634146,1,0.257,0.031
"157","res",5,2022,30,30,0.014634146,1,0.257,0.031
"158","res",5,2024,30,30,0.014634146,1,0.257,0.031
"159","res",5,2026,30,30,0.014634146,1,0.257,0.031
"160","res",5,2028,30,30,0.014634146,1,0.257,0.031
"161","res",5,2030,30,30,0.014634146,1,0.257,0.031
"162","res",5,2032,30,30,0.014634146,1,0.257,0.031
"163","res",5,2034,30,30,0.014634146,1,0.257,0.031
"164","res",5,2036,30,30,0.014634146,1,0.257,0.031
"165","res",5,2038,30,30,0.014634146,1,0.257,0.031
"166","res",5,2040,30,30,0.014634146,1,0.257,0.031
"167","res",5,2042,30,30,0.014634146,1,0.257,0.031
"168","res",5,2044,30,30,0.014634146,1,0.257,0.031
"169","res",5,2046,30,30,0.014634146,1,0.257,0.031
"170","res",5,2048,30,30,0.014634146,1,0.257,0.031
"171","res",5,2050,30,30,0.014634146,1,0.257,0.031
"172","res",6,2014,30,30,0.014634146,1,0.257,1
"173","res",6,2016,30,30,0.014634146,1,0.257,1
"174","res",6,2018,30,30,0.014634146,1,0.257,1
"175","res",6,2020,30,30,0.014634146,1,0.257,1
"176","res",6,2022,30,30,0.014634146,1,0.257,1
"177","res",6,2024,30,30,0.014634146,1,0.257,1
"178","res",6,2026,30,30,0.014634146,1,0.257,1
"179","res",6,2028,30,30,0.014634146,1,0.257,1
